## section1end
## begin version 0.98 source file header             
## generated at 20## from output of MCNPX case mctal_1.0GalwD2O, described as:   
## mcnp       6.mpi 09/10/18 14:42:12   201       200000000  36802327098664
##  Debug                                                                          
## Pulse shapes are as calculated with point detector tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 10x12 viewed area.       
## normalized to  2.0807e+14 p/pulse and  1.000 GeV
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/sterad/pulse/eV         n/sterad/pulse/Angstrom  
##
  3.1623e-03   5.0859e+00   5.2938e+13   1.6620e+24   6.5831e+10   2.0667e+21
  3.5481e-03   4.8014e+00   5.4437e+13   1.7237e+24   8.0456e+10   2.5476e+21
  3.9811e-03   4.5328e+00   5.5280e+13   1.7567e+24   9.7102e+10   3.0857e+21
  4.4668e-03   4.2792e+00   5.5677e+13   1.7858e+24   1.1623e+11   3.7283e+21
  5.0119e-03   4.0399e+00   5.5496e+13   1.7850e+24   1.3770e+11   4.4288e+21
  5.6234e-03   3.8139e+00   5.4950e+13   1.7716e+24   1.6204e+11   5.2245e+21
  6.3096e-03   3.6005e+00   5.3678e+13   1.7270e+24   1.8813e+11   6.0529e+21
  7.0795e-03   3.3991e+00   5.2065e+13   1.6662e+24   2.1688e+11   6.9403e+21
  7.9433e-03   3.2090e+00   5.0267e+13   1.5968e+24   2.4885e+11   7.9050e+21
  8.9125e-03   3.0295e+00   4.8271e+13   1.5166e+24   2.8402e+11   8.9232e+21
  1.0000e-02   2.8600e+00   4.6304e+13   1.4480e+24   3.2380e+11   1.0126e+22
  1.1220e-02   2.7000e+00   4.4107e+13   1.3797e+24   3.6658e+11   1.1467e+22
  1.2589e-02   2.5490e+00   4.1595e+13   1.2856e+24   4.1087e+11   1.2699e+22
  1.4125e-02   2.4064e+00   3.8204e+13   1.1362e+24   4.4851e+11   1.3339e+22
  1.5849e-02   2.2718e+00   3.3577e+13   9.4702e+23   4.6850e+11   1.3214e+22
  1.7783e-02   2.1447e+00   2.9333e+13   7.7668e+23   4.8642e+11   1.2880e+22
  1.9953e-02   2.0247e+00   2.5602e+13   6.5025e+23   5.0459e+11   1.2816e+22
  2.2387e-02   1.9115e+00   2.2178e+13   5.1790e+23   5.1951e+11   1.2131e+22
  2.5119e-02   1.8045e+00   1.9120e+13   4.2051e+23   5.3229e+11   1.1707e+22
  2.8184e-02   1.7036e+00   1.6455e+13   3.4200e+23   5.4445e+11   1.1316e+22
  3.1623e-02   1.6083e+00   1.4168e+13   3.0546e+23   5.5715e+11   1.2012e+22
  3.5481e-02   1.5183e+00   1.2224e+13   2.3179e+23   5.7133e+11   1.0833e+22
  3.9811e-02   1.4334e+00   1.0637e+13   1.8999e+23   5.9084e+11   1.0553e+22
  4.4668e-02   1.3532e+00   9.3216e+12   1.8008e+23   6.1540e+11   1.1889e+22
  5.0119e-02   1.2775e+00   8.2643e+12   1.4921e+23   6.4844e+11   1.1707e+22
  5.6234e-02   1.2061e+00   7.3734e+12   1.2460e+23   6.8760e+11   1.1619e+22
  6.3096e-02   1.1386e+00   6.6731e+12   1.1811e+23   7.3960e+11   1.3090e+22
  7.0795e-02   1.0749e+00   6.0817e+12   1.0121e+23   8.0111e+11   1.3332e+22
  7.9433e-02   1.0148e+00   5.5871e+12   8.6258e+22   8.7469e+11   1.3504e+22
  8.9125e-02   9.5800e-01   5.2307e+12   8.9035e+22   9.7325e+11   1.6566e+22
  1.0000e-01   9.0441e-01   4.9106e+12   8.0515e+22   1.0859e+12   1.7805e+22
  1.1220e-01   8.5382e-01   4.6282e+12   7.5786e+22   1.2164e+12   1.9918e+22
  1.2589e-01   8.0606e-01   4.3501e+12   9.4446e+22   1.3588e+12   2.9502e+22
  1.4125e-01   7.6097e-01   4.0883e+12   8.1309e+22   1.5178e+12   3.0186e+22
  1.5849e-01   7.1840e-01   3.7788e+12   6.1628e+22   1.6673e+12   2.7192e+22
  1.7783e-01   6.7821e-01   3.4498e+12   5.5378e+22   1.8091e+12   2.9040e+22
  1.9953e-01   6.4027e-01   3.0850e+12   4.5150e+22   1.9227e+12   2.8140e+22
  2.2387e-01   6.0446e-01   2.7360e+12   3.8188e+22   2.0267e+12   2.8287e+22
  2.5119e-01   5.7064e-01   2.4056e+12   3.0622e+22   2.1178e+12   2.6959e+22
  2.8184e-01   5.3872e-01   2.1612e+12   2.5961e+22   2.2613e+12   2.7163e+22
